unigram	count	topics_list_with_scores
syaman@bayou.uh.edu	6	[(1.0, 2)]
woods	8	[(1.0, 0)]
hanging	15	[(0.7333333333333333, 8), (0.26666666666666666, 6)]
woody	11	[(0.6363636363636364, 2), (0.2727272727272727, 0), (0.09090909090909091, 9)]
suzana	15	[(1.0, 5)]
halliburton@enron	12	[(1.0, 2)]
unnecessarily	6	[(0.5, 7), (0.5, 1)]
hermann	18	[(0.7222222222222222, 8), (0.2777777777777778, 4)]
mailto:vince.j.kaminski@enron.com	200	[(0.86, 7), (0.075, 0), (0.045, 2), (0.02, 9)]
broward	5	[(1.0, 8)]
bringing	69	[(0.4057971014492754, 8), (0.4057971014492754, 3), (0.17391304347826086, 9), (0.014492753623188406, 4)]
naukowo-techniczne	18	[(1.0, 0)]
liaisons	8	[(1.0, 7)]
wednesday	1096	[(0.40875912408759124, 7), (0.3777372262773723, 2), (0.06934306569343066, 8), (0.05200729927007299, 9), (0.04470802919708029, 6), (0.04105839416058394, 0), (0.006386861313868613, 4)]
tom's	12	[(1.0, 3)]
feasibility	5	[(1.0, 6)]
gorman	6	[(1.0, 0)]
errors	39	[(0.4358974358974359, 0), (0.2564102564102564, 6), (0.23076923076923078, 8), (0.07692307692307693, 4)]
cooking	14	[(1.0, 3)]
designing	22	[(0.5, 6), (0.36363636363636365, 1), (0.13636363636363635, 5)]
shocks	7	[(1.0, 1)]
sherriff/lon/ect@ect	40	[(0.525, 6), (0.475, 4)]
mailings	18	[(0.8333333333333334, 8), (0.16666666666666666, 2)]
lyris-confirm	9	[(1.0, 5)]
affiliates	92	[(0.9347826086956522, 2), (0.06521739130434782, 5)]
china	46	[(0.4782608695652174, 1), (0.2826086956521739, 8), (0.2391304347826087, 4)]
kids	22	[(1.0, 8)]
climbed	10	[(1.0, 5)]
controversy	21	[(0.7619047619047619, 8), (0.14285714285714285, 7), (0.09523809523809523, 1)]
golden	10	[(0.6, 6), (0.4, 9)]
projection	9	[(1.0, 9)]
stern	34	[(0.7941176470588235, 7), (0.20588235294117646, 1)]
lme	5	[(1.0, 6)]
music	33	[(0.45454545454545453, 2), (0.3939393939393939, 8), (0.15151515151515152, 5)]
skewness	14	[(1.0, 6)]
yahoo	150	[(0.94, 3), (0.06, 8)]
meteorologist	17	[(1.0, 1)]
cadoni	18	[(1.0, 0)]
engg	6	[(1.0, 3)]
circumstances	42	[(0.42857142857142855, 5), (0.40476190476190477, 2), (0.11904761904761904, 3), (0.047619047619047616, 8)]
intake	5	[(1.0, 9)]
locked	27	[(0.5185185185185185, 8), (0.4444444444444444, 5), (0.037037037037037035, 7)]
india's	25	[(1.0, 8)]
ghosh/enron@enronxgate	8	[(1.0, 2)]
wang	55	[(0.6363636363636364, 7), (0.36363636363636365, 6)]
hyatt	91	[(0.5604395604395604, 7), (0.2857142857142857, 6), (0.0989010989010989, 2), (0.054945054945054944, 9)]
unjust	7	[(1.0, 5)]
absolute	15	[(0.4666666666666667, 8), (0.4, 0), (0.13333333333333333, 5)]
ednao@esaibos	6	[(1.0, 4)]
travel	221	[(0.7149321266968326, 7), (0.19004524886877827, 8), (0.09502262443438914, 1)]
playback	6	[(1.0, 5)]
rly-xd	6	[(1.0, 0)]
wrong	101	[(0.5742574257425742, 8), (0.16831683168316833, 2), (0.15841584158415842, 6), (0.09900990099009901, 7)]
dmitri.villevald@owen	8	[(1.0, 3)]
menlo	8	[(0.75, 7), (0.25, 0)]
romper	6	[(1.0, 7)]
welcomed	13	[(0.6923076923076923, 9), (0.23076923076923078, 3), (0.07692307692307693, 7)]
concurrence	18	[(0.9444444444444444, 0), (0.05555555555555555, 4)]
peut	8	[(1.0, 0)]
partnered	5	[(1.0, 9)]
grzegorz	10	[(1.0, 0)]
welcomes	6	[(1.0, 1)]
fis	25	[(1.0, 8)]
fit	202	[(0.5841584158415841, 3), (0.36633663366336633, 6), (0.0297029702970297, 8), (0.019801980198019802, 0)]
fix	65	[(0.46153846153846156, 5), (0.3230769230769231, 8), (0.2153846153846154, 6)]
dziekuje	33	[(1.0, 0)]
wales	7	[(1.0, 1)]
uoh	8	[(1.0, 3)]
fin	10	[(0.6, 7), (0.4, 4)]
read%/home/content/users/imds/feeds/djn	6	[(1.0, 5)]
effects	37	[(0.5135135135135135, 5), (0.4864864864864865, 1)]
kohli@enron_development	36	[(0.8611111111111112, 9), (0.1388888888888889, 8)]
